CustomerNo,Fname,Lname,Age,Sex,Add1,Add2,Add3,Mobile,ZipCode,Email,PEPFg
1,Fonsie,Dwelly,45,F,6457 Ouano St.,Pansoy,Philippines,6.39E+11,1207,fdwelly0@washingtonpost.com,FALSE
2,Frieda,Bemwell,35,GY,7999 Magdeline St.,Bacong,Philippines,6.40E+11,1209,fbemwell1@opensource.org,FALSE
3,Jard,Danilin,26,M,4 Tejeros St.,Kiloloran,Philippines,6.39E+11,1204,jdanilin2@hatena.ne.jp,FALSE
4,Dasi,Nolleth,38,GY,8262 Grasskamp St.,Limulan,Philippines,6.40E+11,1213,dnolleth3@mit.edu,TRUE
5,Whittaker,Mahady,43,TGW,59 Tejeros St.,Manamrag,Philippines,6.39E+11,1204,wmahady4@adobe.com,TRUE
6,Shanan,Marchbank,37,TGM,4458 Ouano St.,Cortes,Philippines,6.40E+11,1207,smarchbank5@twitpic.com,FALSE
7,Donall,Tamlett,38,TGW,82207 Grasskamp St.,Kanlagay,Philippines,6.39E+11,1213,dtamlett6@icq.com,FALSE
8,Edie,Harnes,57,TGW,1750 Sunnyside St.,Kabasalan,Philippines,6.40E+11,1210,eharnes7@chron.com,FALSE
9,Juli,Soutter,35,TGM,55 Armistice St.,Maluso,Philippines,6.40E+11,1206,jsoutter8@businessweek.com,FALSE
10,Tally,Epsley,34,TGW,99 Armistice St.,La Dicha,Philippines,6.40E+11,1206,tepsley9@slate.com,FALSE
11,Hughie,Paybody,18,LB,8 Armistice St.,Tawan tawan,Philippines,6.39E+11,1206,hpaybodya@ycombinator.com,TRUE
12,Germain,Redholls,40,F,61 Armistice St.,Buenavista,Philippines,6.39E+11,1206,gredhollsb@pen.io,TRUE
13,Dorena,Woolcocks,29,TGW,809 Armistice St.,Bulualto,Philippines,6.40E+11,1206,dwoolcocksc@boston.com,TRUE
14,Burgess,Kryzhov,56,GY,48918 Ouano St.,Balete,Philippines,6.40E+11,1207,bkryzhovd@sbwire.com,FALSE
15,Dick,Aronovich,28,M,32 Sherman St.,Kalawit,Philippines,6.40E+11,1211,daronoviche@g.co,FALSE
16,Elenore,Rainsden,48,F,36574 Armistice St.,Bautista,Philippines,6.40E+11,1206,erainsdenf@google.com,TRUE
17,Leena,Alyukin,27,GY,0 San Lorenzo St.,Liloan,Philippines,6.39E+11,1215,lalyuking@boston.com,FALSE
